module,method,path,function,status,guards
accounting,POST,/accounting/bootstrap,bootstrap_chart,,
accounting,GET,/accounting/accounts,list_accounts,,
accounting,POST,/accounting/accounts,create_account,HTTP_201_CREATED,
accounting,PATCH,/accounting/accounts/{account_id},update_account,,
accounting,GET,/accounting/journal-entries,list_entries,,
accounting,POST,/accounting/journal-entries,add_entry,HTTP_201_CREATED,
accounting,POST,/accounting/journal-entries/{entry_id}/post,post_entry,,
accounting,GET,/accounting/trial-balance,trial_balance,,
accounting,GET,/accounting/profit-and-loss,profit_and_loss,,
accounting,GET,/accounting/balance-sheet,balance_sheet,,
audit,GET,/audit/events,list_audit_events,,authenticated; tenant context
auth,POST,/auth/login,login,,
auth,POST,/auth/websocket-session,create_websocket_session,,authenticated
auth,POST,/auth/password-reset-request,request_password_reset,HTTP_202_ACCEPTED,
auth,GET,/auth/me,me,,authenticated
auth,POST,/auth/refresh,refresh_token,,
auth,POST,/auth/logout,logout,,platform owner
auth,GET,/auth/users,list_users,,platform owner
auth,GET,/auth/users/{user_id},get_user,,platform owner
auth,PUT,/auth/users/{user_id},update_user,,platform owner
auth,DELETE,/auth/users/{user_id},delete_user,HTTP_204_NO_CONTENT,platform owner
auth,GET,/auth/impersonation-targets,impersonation_targets,,platform owner
auth,POST,/auth/impersonate,impersonate_user,,platform owner
billing,GET,/billing/plans,list_public_plans,,platform owner
billing,GET,/billing/plans/admin,list_all_plans_for_admin,,platform owner
billing,POST,/billing/plans,create_plan,HTTP_201_CREATED,platform owner
billing,PUT,/billing/plans/{plan_id},update_plan,,platform owner
billing,DELETE,/billing/plans/{plan_id},delete_plan,HTTP_204_NO_CONTENT,platform owner
billing,GET,/billing/subscriptions,list_subscriptions,,
billing,GET,/billing/subscriptions/current,current_subscription,,
billing,POST,/billing/subscriptions/checkout,subscription_checkout,,
billing,POST,/billing/subscriptions/{subscription_id}/cancel,cancel_subscription,,
borrower,GET,/borrowers/,list_borrowers,,authenticated; platform owner
borrower,GET,/borrowers/me,get_my_borrower_profile,,authenticated; platform owner
borrower,GET,/borrowers/{borrower_id},get_borrower,,authenticated; platform owner
borrower,POST,/borrowers/,create_borrower,HTTP_201_CREATED,authenticated; platform owner
borrower,PUT,/borrowers/{borrower_id},update_borrower,,authenticated; platform owner
borrower,DELETE,/borrowers/{borrower_id},delete_borrower,HTTP_204_NO_CONTENT,platform owner
borrower_registration,POST,/borrower-registration/,register_borrower,HTTP_201_CREATED,
branches,GET,/branches/,list_branches,,
branches,GET,/branches/company/{company_id},list_company_branches,,
branches,GET,/branches/{branch_id},get_branch,,
branches,POST,/branches/,create_branch,HTTP_201_CREATED,
branches,PUT,/branches/{branch_id},update_branch,,
branches,DELETE,/branches/{branch_id},delete_branch,HTTP_204_NO_CONTENT,
branches,PATCH,/branches/{branch_id}/activate,activate_branch,,
branches,PATCH,/branches/{branch_id}/deactivate,deactivate_branch,,
chat,GET,/chat/directory,chat_directory,,
chat,GET,/chat/conversations,list_conversations,,
chat,GET,/chat/unread-count,unread_count,,
chat,POST,/chat/conversations,create_conversation,HTTP_201_CREATED,
chat,GET,/chat/conversations/{conversation_id}/messages,list_messages,,
chat,POST,/chat/conversations/{conversation_id}/messages,send_message,HTTP_201_CREATED,
chat,POST,/chat/conversations/{conversation_id}/files,send_file_message,HTTP_201_CREATED,
chat,PATCH,/chat/conversations/{conversation_id}/read,mark_conversation_read,HTTP_204_NO_CONTENT,
chat,PATCH,/chat/messages/{message_id},update_message,,
chat,DELETE,/chat/messages/{message_id},delete_message,HTTP_204_NO_CONTENT,
