variable,example/default,purpose
ENVIRONMENT,production,Runtime environment name
APP_TIMEZONE,Africa/Maseru,Business timezone for midnight tasks
PUBLIC_APP_URL,https://loanhub.example.com,Public browser URL
DB_HOST,db,PostgreSQL host
DB_PORT,5432,PostgreSQL port
DB_USER,loanhub,PostgreSQL user
DB_PASSWORD,CHANGE_ME,PostgreSQL password
DB_NAME,loanhub,PostgreSQL database
DATABASE_URL,,Optional full SQLAlchemy URL
CORS_ORIGINS,https://loanhub.example.com,Allowed browser origins
SECRET_KEY,CHANGE_ME_LONG_RANDOM_VALUE,Application secret
FERNET_SECRET_KEY,CHANGE_ME_URLSAFE_BASE64_KEY,General encryption key
CHAT_ENCRYPTION_KEY,CHANGE_ME_LONG_RANDOM_VALUE,Chat message encryption key
FILE_ENCRYPTION_KEY,CHANGE_ME_LONG_RANDOM_VALUE,Managed file encryption key
FILE_ENCRYPTION_ENABLED,true,Enable file-at-rest encryption
JWT_PRIVATE_KEY_PATH,/run/secrets/jwt_private.pem,RSA private key path
JWT_PUBLIC_KEY_PATH,/run/secrets/jwt_public.pem,RSA public key path
ACCESS_TOKEN_EXPIRE_MINUTES,30,Access-token lifetime
REFRESH_TOKEN_EXPIRE_DAYS,7,Refresh-token lifetime
ENABLE_ROLE_IMPERSONATION,true,Enable platform role switching
IMPERSONATION_MAX_MINUTES,30,Maximum impersonation session duration
REDIS_URL,redis://redis:6379/0,Redis connection URL
REDIS_REALTIME_CHANNEL,loanhub:realtime,Realtime pub/sub channel
FILE_STORAGE_PATH,/app/media/uploads,Managed media path
FILE_MAX_UPLOAD_MB,25,General upload limit
FILE_AUDIO_MAX_UPLOAD_MB,20,Voice-note upload limit
FILE_RETENTION_DAYS,3650,Retention setting
MAINTENANCE_INTERVAL_SECONDS,300,Worker polling interval
MIDNIGHT_REPORTS_ENABLED,true,Enable automatic midnight reports
MIDNIGHT_REPORT_FORMATS,"pdf,csv",Generated report formats
PAYMENT_MOCK_MODE,true,Use mock payment adapter
PAYMENT_CALLBACK_SECRET,CHANGE_ME,Provider callback secret
MARKETPLACE_DEFAULT_UNLOCK_FEE,25.00,Default request unlock fee
PRODUCT_NAME,LoanHub,Product display name
DEVELOPER_NAME,Ithute Solutions,Developer display name
LOANHUB_LOGO_PATH,assets/loanhub-horizontal-logo.png,Provider or runtime configuration
LOANHUB_APP_ICON_PATH,assets/loanhub-app-icon.png,Provider or runtime configuration
DEVELOPER_LOGO_PATH,assets/ithute-solutions-developer-logo.png,Provider or runtime configuration
MPESA_API_KEY,,Provider or runtime configuration
MPESA_PUBLIC_KEY,,Provider or runtime configuration
MPESA_BASE_URL,,Provider or runtime configuration
MPESA_MARKET,LS,Provider or runtime configuration
MPESA_COUNTRY,LS,Provider or runtime configuration
MPESA_CURRENCY,LSL,Provider or runtime configuration
MPESA_SHORTCODE,,Provider or runtime configuration
MPESA_MODEL,,Provider or runtime configuration
ECOCASH_API_KEY,,Provider or runtime configuration
ECOCASH_API_SECRET,,Provider or runtime configuration
ECOCASH_BASE_URL,,Provider or runtime configuration
ECOCASH_MERCHANT_CODE,,Provider or runtime configuration
ECOCASH_CALLBACK_URL,,Provider or runtime configuration
