route,file,title,imports
/forgot-password,(auth)/forgot-password/page.tsx,Restore account access,api/auth; utils/apiError; utils/toast
/login,(auth)/login/page.tsx,Welcome to LoanHub,store/hooks; store/slices/authSlice; lib/role-redirect
/borrower/chat,(dashboard)/borrower/chat/page.tsx,,components/chat/chat-workspace
/borrower/files,(dashboard)/borrower/files/page.tsx,,components/files/file-center
/borrower/loans,(dashboard)/borrower/loans/page.tsx,My loans,utils/toast; components/portal/metric-card; components/portal/status-badge; lib/format; provider/appDataProvider; types/loan; types/payment; utils/apiError
/borrower/notifications,(dashboard)/borrower/notifications/page.tsx,,components/notifications/notification-center-page
/borrower,(dashboard)/borrower/page.tsx,Your LoanHub account,components/dashboard/marketable-quick-actions; components/portal/metric-card; components/portal/status-badge; lib/format; provider/appDataProvider
/borrower/payments,(dashboard)/borrower/payments/page.tsx,Payment history,components/portal/metric-card; components/portal/status-badge; lib/display-reference; lib/format; provider/appDataProvider
/borrower/profile,(dashboard)/borrower/profile/page.tsx,Borrower profile,utils/toast; lib/api; provider/appDataProvider; store/hooks; store/slices/authSlice; types/person; utils/apiError
/borrower/requests,(dashboard)/borrower/requests/page.tsx,Loan requests and offers,utils/toast; components/portal/status-badge; lib/format; provider/appDataProvider; types/loan_offer; types/loanRequest; utils/apiError
/company/accounting,(dashboard)/company/accounting/page.tsx,,components/accounting/accounting-dashboard
/company/activity,(dashboard)/company/activity/page.tsx,,components/transparency/activity-log-page
/company/billing,(dashboard)/company/billing/page.tsx,Subscription and billing,utils/toast; components/portal/status-badge; lib/format; provider/appDataProvider; provider/tenantProvider; types/auth; types/billing; types/payment
/company/branches,(dashboard)/company/branches/page.tsx,Company branches,utils/toast; api/branch; components/portal/metric-card; components/portal/status-badge; provider/appDataProvider; provider/tenantProvider; types/auth; utils/apiError
/company/chat,(dashboard)/company/chat/page.tsx,,components/chat/chat-workspace
/company/employees,(dashboard)/company/employees/page.tsx,,components/employees/employee-management-page
/company/files,(dashboard)/company/files/page.tsx,,components/files/file-center
/company/loans,(dashboard)/company/loans/page.tsx,Company loans,utils/toast; components/portal/metric-card; components/portal/status-badge; components/ui/dialog; lib/format; provider/appDataProvider; provider/tenantProvider; types/auth
/company/marketplace,(dashboard)/company/marketplace/page.tsx,Marketplace access is role restricted,components/portal/error-panel; components/portal/loading-panel; provider/appDataProvider; provider/tenantProvider; types/auth; types/marketplace
/company/notifications,(dashboard)/company/notifications/page.tsx,,components/notifications/notification-center-page
/company,(dashboard)/company/page.tsx,,components/dashboard/marketable-quick-actions; components/portal/error-panel; components/portal/loading-panel; components/portal/metric-card; components/portal/status-badge; lib/format; provider/appDataProvider
/company/payments,(dashboard)/company/payments/page.tsx,Payments and cash flow,components/portal/metric-card; components/portal/status-badge; lib/display-reference; lib/format; provider/appDataProvider
/company/performance,(dashboard)/company/performance/page.tsx,,components/performance/performance-dashboard
/company/products,(dashboard)/company/products/page.tsx,Loan products,utils/toast; components/ui/dialog; components/ui/dropdown-menu; components/portal/error-panel; components/portal/loading-panel; components/portal/metric-card; lib/format; provider/appDataProvider
/company/reports,(dashboard)/company/reports/page.tsx,,components/reports/report-center
/company/settings,(dashboard)/company/settings/page.tsx,Company profile unavailable,
/company/staff,(dashboard)/company/staff/page.tsx,Staff and permissions,utils/toast; api/companyStaff; components/portal/metric-card; components/portal/status-badge; lib/format; provider/appDataProvider; provider/tenantProvider; types/auth
/company-admin,(dashboard)/company-admin/page.tsx,,
/superadmin/accounting,(dashboard)/superadmin/accounting/page.tsx,,components/accounting/accounting-dashboard
/superadmin/activity,(dashboard)/superadmin/activity/page.tsx,,components/transparency/activity-log-page
/superadmin/chat,(dashboard)/superadmin/chat/page.tsx,,components/chat/chat-workspace
/superadmin/companies/[id],(dashboard)/superadmin/companies/[id]/page.tsx,Company not found,provider/appDataProvider
/superadmin/companies/branches,(dashboard)/superadmin/companies/branches/page.tsx,,
/superadmin/companies,(dashboard)/superadmin/companies/page.tsx,,
/superadmin/company-admins,(dashboard)/superadmin/company-admins/page.tsx,Company administrators,
/superadmin/files,(dashboard)/superadmin/files/page.tsx,,components/files/file-center
/superadmin/loans/[id],(dashboard)/superadmin/loans/[id]/page.tsx,Loan request unavailable,lib/display-reference; lib/format; provider/appDataProvider; components/portal/status-badge
/superadmin/loans,(dashboard)/superadmin/loans/page.tsx,Portfolio Analytics Dashboard,store; store/features/thunks/loanRequestThunks; app/(dashboard)/superadmin/loans/_components/overview; app/(dashboard)/superadmin/loans/_components/create_loan_request; utils/toast
/superadmin/notifications,(dashboard)/superadmin/notifications/page.tsx,,components/notifications/notification-center-page
/superadmin,(dashboard)/superadmin/page.tsx,Live platform overview,components/SuperAdminCompaniesTable; components/dashboard/marketable-quick-actions; components/portal/metric-card; lib/format; provider/appDataProvider
/superadmin/payments,(dashboard)/superadmin/payments/page.tsx,Platform payment ledger,components/portal/metric-card; components/portal/status-badge; lib/display-reference; lib/format; provider/appDataProvider
/superadmin/performance,(dashboard)/superadmin/performance/page.tsx,,components/performance/performance-dashboard
/superadmin/plans,(dashboard)/superadmin/plans/page.tsx,Pricing and subscription plans,
