sequence,revision,down_revision,title,file
1,3057a2cdb0ea,,initial loan marketplace schema,3057a2cdb0ea_initial_loan_marketplace_schema.py
2,4ffb06dcde89,3057a2cdb0ea,initial loan marketplace schema,4ffb06dcde89_initial_loan_marketplace_schema.py
3,b0a8b024a79e,4ffb06dcde89,initial loan marketplace schema,b0a8b024a79e_initial_loan_marketplace_schema.py
4,f86a6ab5a269,b0a8b024a79e,initial loan marketplace schema,f86a6ab5a269_initial_loan_marketplace_schema.py
5,96e6e94f2ba7,f86a6ab5a269,c,96e6e94f2ba7_c.py
6,790ed6fd651d,96e6e94f2ba7,c,790ed6fd651d_c.py
7,15c00a058229,790ed6fd651d,c,15c00a058229_c.py
8,d09fde6cd60e,15c00a058229,c,d09fde6cd60e_c.py
9,8563cd58deb9,d09fde6cd60e,c,8563cd58deb9_c.py
10,464f4729f8a7,8563cd58deb9,c,464f4729f8a7_c.py
11,920a67b52323,464f4729f8a7,c,920a67b52323_c.py
12,db8c1b7032c2,920a67b52323,c,db8c1b7032c2_c.py
13,77031f1f0be4,db8c1b7032c2,c,77031f1f0be4_c.py
14,b0c4c142919a,77031f1f0be4,c,b0c4c142919a_c.py
15,48e0a5d6cb1f,b0c4c142919a,c,48e0a5d6cb1f_c.py
16,d16e137105d7,48e0a5d6cb1f,add school admin,d16e137105d7_add_school_admin.py
17,44822a754848,d16e137105d7,add school admin,44822a754848_add_school_admin.py
18,80d0284b8cd6,44822a754848,add loan company client,80d0284b8cd6_add_loan_company_client.py
19,a56c9061c634,80d0284b8cd6,add loan company client,a56c9061c634_add_loan_company_client.py
20,cdb7c1666d74,a56c9061c634,add loan company client,cdb7c1666d74_add_loan_company_client.py
21,056d9353ae4b,cdb7c1666d74,add loan company client,056d9353ae4b_add_loan_company_client.py
22,af6a1575fb01,056d9353ae4b,add loan company client,af6a1575fb01_add_loan_company_client.py
23,fd4aa8a11b41,af6a1575fb01,add person profiles,fd4aa8a11b41_add_person_profiles.py
24,7ba90e8af6b6,fd4aa8a11b41,add people model,7ba90e8af6b6_add_loan_company_client.py
25,9f1c2d3e4a5b,7ba90e8af6b6,"multitenant SaaS, billing, payments and repayment foundation",9f1c2d3e4a5b_multitenant_saas_foundation.py
26,307dcdf0187c,9f1c2d3e4a5b,normalize company staff company cascade,307dcdf0187c_fix_company_staff_company_cascade.py
27,46b05ea64319,307dcdf0187c,expand payment idempotency key,46b05ea64319_expand_payment_idempotency_key.py
28,274950a4cd45,46b05ea64319,legacy migration-chain compatibility marker,274950a4cd45_expand_payment_idempotency_key.py
29,6c1f9a7e2d40,274950a4cd45,"realtime transparency, employees, performance and system errors",6c1f9a7e2d40_realtime_transparency_employees_performance.py
30,3957062b7c66,6c1f9a7e2d40,compatibility marker for an already-recorded local revision,3957062b7c66_test.py
31,8d2f4a1b7c90,3957062b7c66,"marketable chat, files, reports and accounting",8d2f4a1b7c90_marketable_chat_files_reports_accounting.py
32,b84d1f2a9c30,8d2f4a1b7c90,canonical schema repair after compatibility and marketable revisions,b84d1f2a9c30_merge_missing_test_and_marketable.py
33,d4e7b6c1a930,b84d1f2a9c30,align legacy index names and restore the selected-offer foreign key,d4e7b6c1a930_schema_alignment_and_route_hardening.py
34,f1a9c4e7b620,d4e7b6c1a930,"final security, presence and encrypted content alignment",f1a9c4e7b620_final_security_presence_and_midnight.py
