module,class,table,columns,foreign_keys,relationships
accounting,AccountingAccount,accounting_accounts,"scope_key, scope_type, company_id, branch_id, parent_id, code, name, account_type, normal_balance, description, is_system, is_active",company_id->loan_companies.id; branch_id->company_branches.id; parent_id->accounting_accounts.id,parent->AccountingAccount
accounting,JournalEntry,journal_entries,"scope_key, scope_type, company_id, branch_id, created_by_user_id, posted_by_user_id, entry_number, entry_date, description, reference_type, reference_id, status, total_debit, total_credit, posted_at, voided_at",company_id->loan_companies.id; branch_id->company_branches.id; created_by_user_id->users.id; posted_by_user_id->users.id,lines->JournalLine
accounting,JournalLine,journal_lines,"journal_entry_id, account_id, description, debit, credit",journal_entry_id->journal_entries.id; account_id->accounting_accounts.id,entry->JournalEntry; account->AccountingAccount
audit_log,AuditLog,audit_logs,"user_id, company_id, branch_id, action, table_name, entity_type, record_id, description, actor_role, severity, status, before_data, after_data, changed_fields, event_data, request_id, ip_address, user_agent, duration_ms",user_id->users.id; company_id->loan_companies.id; branch_id->company_branches.id,user->User; company->LoanCompany; branch->CompanyBranch
borrower,Borrower,borrowers,"user_id, employment_status, employer_name, job_title, monthly_income, salary_date, has_existing_loans, existing_loan_total, consent_to_share_profile, consent_to_credit_checks",user_id->users.id,user->User; loans->ClientCompanyLoan; loan_requests->LoanRequest; documents->BorrowerDocument; payment_transactions->PaymentTransaction
branch,CompanyBranch,company_branches,"company_id, name, district, town, address, phone, email, is_active",company_id->loan_companies.id,company->LoanCompany; staff_members->CompanyStaff; loans->ClientCompanyLoan
chat,ChatConversation,chat_conversations,"reference, company_id, branch_id, created_by_user_id, title, conversation_type, context_type, context_id, is_group, is_archived, last_message_at",company_id->loan_companies.id; branch_id->company_branches.id; created_by_user_id->users.id,created_by_user->User; participants->ChatParticipant; messages->ChatMessage
chat,ChatParticipant,chat_participants,"conversation_id, user_id, participant_role, is_admin, is_active, joined_at, last_read_at, muted_until",conversation_id->chat_conversations.id; user_id->users.id,conversation->ChatConversation; user->User
chat,ChatMessage,chat_messages,"conversation_id, sender_user_id, company_id, branch_id, reply_to_message_id, message_type, body, body_ciphertext, body_nonce, encryption_version, client_message_id, metadata_json, edited_at, deleted_at",conversation_id->chat_conversations.id; sender_user_id->users.id; company_id->loan_companies.id; branch_id->company_branches.id; reply_to_message_id->chat_messages.id,conversation->ChatConversation; sender->User; reply_to->ChatMessage; attachments->ChatMessageAttachment
chat,ChatMessageAttachment,chat_message_attachments,"message_id, file_id, caption",message_id->chat_messages.id; file_id->managed_files.id,message->ChatMessage; file->ManagedFile
client_loan_company,ClientCompanyLoan,client_company_loan,"loan_request_id, loan_offer_id, company_id, branch_id, borrower_id, loan_reference, principal_amount, interest_rate, processing_fee, total_repayable, repayment_type, repayment_period, installment_amount, approved_at, disbursed_at, first_payment_due, maturity_date, amount_paid, balance, status, risk_level, is_overdue, approved_by_user_id, disbursed_by_user_id",loan_request_id->loan_requests.id; loan_offer_id->loan_offers.id; company_id->loan_companies.id; branch_id->company_branches.id; borrower_id->borrowers.id; approved_by_user_id->users.id; disbursed_by_user_id->users.id,borrower->Borrower; company->LoanCompany; branch->CompanyBranch; loan_request->LoanRequest; loan_offer->LoanOffer; approved_by->User; disbursed_by->User; installments->RepaymentInstallment; payment_transactions->PaymentTransaction
company,LoanCompany,loan_companies,"name, registration_number, license_number, phone, email, website, address, district, status, is_active",,branches->CompanyBranch; staff_members->CompanyStaff; loan_products->LoanProduct; offers->LoanOffer; subscriptions->CompanySubscription; marketplace_unlocks->MarketplaceUnlock; payment_transactions->PaymentTransaction; loans->ClientCompanyLoan
company_staff,CompanyStaff,company_staff,"user_id, company_id, branch_id, role, is_active",user_id->users.id; company_id->loan_companies.id; branch_id->company_branches.id,user->User; company->LoanCompany; branch->CompanyBranch; employee_profile->EmployeeProfile
documents,BorrowerDocument,borrower_documents,"borrower_id, document_type, file_name, file_url, is_verified",borrower_id->borrowers.id,borrower->Borrower
documents,LoanRequestDocument,loan_request_documents,"loan_request_id, document_type, file_name, file_url",loan_request_id->loan_requests.id,loan_request->LoanRequest
employee,EmployeeProfile,employee_profiles,"staff_id, company_id, branch_id, reports_to_staff_id, employee_number, job_title, department, employment_type, employment_status, hire_date, probation_end_date, termination_date, base_salary, currency, skills, target_config, notes, is_manager",staff_id->company_staff.id; company_id->loan_companies.id; branch_id->company_branches.id; reports_to_staff_id->company_staff.id,staff->CompanyStaff; reports_to->CompanyStaff; company->LoanCompany; branch->CompanyBranch; goals->PerformanceGoal; reviews->PerformanceReview
employee,PerformanceGoal,performance_goals,"employee_id, company_id, branch_id, created_by_user_id, title, description, category, target_value, current_value, unit, weight, period_start, period_end, status, completed_at",employee_id->employee_profiles.id; company_id->loan_companies.id; branch_id->company_branches.id; created_by_user_id->users.id,employee->EmployeeProfile; created_by_user->User
employee,PerformanceReview,performance_reviews,"employee_id, reviewer_staff_id, company_id, branch_id, period_start, period_end, overall_score, rating, status, strengths, improvements, comments, metrics, employee_acknowledged_at",employee_id->employee_profiles.id; reviewer_staff_id->company_staff.id; company_id->loan_companies.id; branch_id->company_branches.id,employee->EmployeeProfile; reviewer->CompanyStaff
file_management,ManagedFile,managed_files,"owner_user_id, company_id, branch_id, reference, original_name, stored_name, storage_key, storage_provider, mime_type, detected_mime_type, extension, size_bytes, checksum_sha256, is_encrypted, encryption_nonce, encryption_version, scan_status, quarantined_reason, category, visibility, description, linked_entity_type, linked_entity_id, is_confidential, is_deleted, deleted_at",owner_user_id->users.id; company_id->loan_companies.id; branch_id->company_branches.id,owner->User; company->LoanCompany; branch->CompanyBranch
lender_access,LenderAccessRequest,lender_access_requests,"loan_request_id, company_id, requested_by_user_id, status, message",loan_request_id->loan_requests.id; company_id->loan_companies.id; requested_by_user_id->users.id,loan_request->LoanRequest; company->LoanCompany; requested_by->User
